location	Latitude	Longitude
Minnetonka Beach city	44.94	-93.59
Minnetonka city	44.93	-93.46
Minnetrista city	44.94	-93.71
Mizpah city	47.92	-94.21
Montevideo city	44.95	-95.72
Montgomery city	44.44	-93.58
Monticello city	45.3	-93.8
Montrose city	45.07	-93.92
Moorhead city	46.86	-96.74
Moose Lake city	46.45	-92.76
Mora city	45.88	-93.29
Morgan city	44.42	-94.92
Morris city	45.59	-95.9
Morristown city	44.22	-93.44
Morton city	44.55	-94.98
Motley city	46.33	-94.64
Mound city	44.93	-93.66
Mounds View city	45.11	-93.21
Mountain Iron city	47.55	-92.63
Mountain Lake city	43.94	-94.93
Murdock city	45.22	-95.39
Myrtle city	43.56	-93.16
Nashua city	46.04	-96.31
Nashwauk city	47.38	-93.17
Nassau city	45.07	-96.44
Naytahwaush	47.27	-95.63
Nelson city	45.89	-95.26
Nerstrand city	44.34	-93.06
Nett Lake	48.11	-93.08
Nevis city	46.96	-94.84
New Auburn city	44.67	-94.23
New Brighton city	45.07	-93.21
New Germany city	44.89	-93.97
New Hope city	45.04	-93.39
New London city	45.3	-94.95
New Munich city	45.63	-94.75
New Prague city	44.55	-93.58
New Richland city	43.89	-93.49
New Trier city	44.6	-92.93
New Ulm city	44.31	-94.47
New York Mills city	46.52	-95.37
Newfolden city	48.36	-96.33
Newport city	44.87	-93
Nicollet city	44.27	-94.19
Nielsville city	47.53	-96.82
Nimrod city	46.64	-94.88
Nisswa city	46.5	-94.3
Norcross city	45.87	-96.2
North Branch city	45.51	-92.96
North Mankato city	44.18	-94.04
North Oaks city	45.1	-93.09
North River city	46.95	-96.8
North St. Paul city	45.01	-93
Northfield city	44.46	-93.17
Northome city	47.88	-94.27
Northrop city	43.74	-94.44
Norwood Young America city	44.77	-93.92
Nowthen city	45.34	-93.45
Oak Grove city	45.34	-93.33
Oak Park Heights city	45.03	-92.82
Oakdale city	44.99	-92.96
Oakport	46.94	-96.77
Odessa city	45.26	-96.33
Odin city	43.87	-94.74
Ogema city	47.1	-95.92
Ogilvie city	45.83	-93.42
Okabena city	43.74	-95.32
Oklee city	47.84	-95.85
Olivia city	44.78	-95
Onamia city	46.07	-93.67
Ormsby city	43.85	-94.7
Orono city	44.96	-93.59
Oronoco city	44.16	-92.54
Orr city	48.06	-92.82
Ortonville city	45.3	-96.44
Osage	46.93	-95.26
Osakis city	45.86	-95.15
Oslo city	48.2	-97.13
Osseo city	45.12	-93.4
Ostrander city	43.61	-92.43
Otsego city	45.27	-93.62
Ottertail city	46.43	-95.56
Owatonna city	44.09	-93.23
Palisade city	46.71	-93.49
Park Rapids city	46.92	-95.06
Parkers Prairie city	46.15	-95.33
